AGS,GEN,question_01,question_02
01001000,Flensburg,88,23
01002000,Kiel,88,23
01003000,Lübeck,43,22
01004000,Neumünster,34,14
01051011,Brunsbüttel,80,47
01051044,Heide,13,86
01051003,Averlak,99,96
01051010,Brickeln,92,95
01051012,Buchholz,74,75
01051016,Burg (Dithmarschen),81,68
01051022,Dingen,60,98
01051024,Eddelak,31,20
01051026,Eggstedt,38,87
01051032,Frestedt,68,57
01051037,Großenrade,80,71
01051051,Hochdonn,100,16
01051064,Kuden,84,20
01051089,Quickborn,92,85
01051097,Sankt Michaelisdonn,80,32
01051110,Süderhastedt,59,62
01051021,Diekhusen-Fahrstedt,68,97
01051034,Friedrichskoog,94,35
01051046,Helse,25,50
01051057,Kaiser-Wilhelm-Koog,88,80
01051062,Kronprinzenkoog,48,61
01051072,Marne,26,33
01051073,Marnerdeich,37,84
01051076,Neufeld,15,38
01051077,Neufelderkoog,49,12
01051090,Ramhusen,20,34
01051103,Schmedeswurth,33,12
01051118,Trennewurth,60,16
01051119,Volsemenhusen,86,73
01051005,Barkenholm,96,36
01051008,Bergewöhrden,54,80
01051019,Dellstedt,74,12
01051020,Delve,75,38
01051023,Dörpling,11,83
01051030,Fedderingen,99,68
01051035,Gaushorn,13,84
01051036,Glüsing,67,77
01051038,Groven,46,30
01051047,Hemme,57,37
01051049,Hennstedt,32,89
01051052,Hövede,93,67
01051053,Hollingstedt,74,20
01051058,Karolinenkoog,50,88
01051060,Kleve,41,80
01051061,Krempel,28,17
01051065,Lehe,21,76
01051068,Linden,14,49
01051071,Lunden,91,38
01051080,Norderheistedt,24,59
01051088,Pahlen,99,13
01051092,Rehm-Flehde-Bargen,50,19
01051096,Sankt Annen,88,42
01051100,Schalkholz,86,97
01051102,Schlichting,94,12
01051114,Tellingstedt,55,70
01051117,Tielenhemme,28,29
01051120,Wallen,69,57
01051125,Welmbüttel,93,48
01051131,Westerborstel,63,34
01051133,Wiemerstedt,48,38
01051136,Wrohm,38,26
01051139,Süderdorf,99,11
01051141,Süderheistedt,56,94
01051048,Hemmingstedt,96,84
01051067,Lieth,34,20
01051069,Lohe-Rickelshof,94,81
01051075,Neuenkirchen,50,95
01051081,Norderwöhrden,37,33
01051082,Nordhastedt,74,80
01051087,Ostrohe,99,31
01051107,Stelle-Wittenwurth,41,68
01051113,Wöhrden,18,95
01051122,Weddingstedt,50,62
01051130,Wesseln,82,14
01051001,Albersdorf,35,66
01051002,Arkebek,12,93
01051004,Bargenstedt,19,26
01051006,Barlt,87,75
01051015,Bunsoh,40,65
01051017,Busenwurth,20,39
01051027,Elpersbüttel,100,22
01051028,Epenwöhrden,20,72
01051039,Gudendorf,98,96
01051054,Immenstedt,95,81
01051063,Krumstedt,62,84
01051074,Meldorf,72,62
01051078,Nindorf,95,11
01051083,Odderade,56,14
01051085,Offenbüttel,79,28
01051086,Osterrade,98,57
01051098,Sarzbüttel,34,19
01051099,Schafstedt,61,94
01051104,Schrum,53,52
01051126,Wennbüttel,67,41
01051134,Windbergen,24,27
01051135,Wolmersdorf,10,13
01051137,Nordermeldorf,68,46
01051138,Tensbüttel-Röst,20,95
01051013,Büsum,44,55
01051014,Büsumer Deichhausen,25,58
01051033,Friedrichsgabekoog,82,73
01051043,Hedwigenkoog,96,90
01051045,Hellschen-Heringsand-Unterschaar,49,40
01051050,Hillgroven,77,68
01051079,Norddeich,52,42
01051084,Oesterdeichstrich,75,91
01051093,Reinsbüttel,89,37
01051105,Schülp,35,75
01051108,Strübbel,50,90
01051109,Süderdeich,93,34
01051121,Warwerort,78,58
01051127,Wesselburen,20,46
01051128,Wesselburener Deichhausen,14,75
01051129,Wesselburenerkoog,95,15
01051132,Westerdeichstrich,24,29
01051140,Oesterwurth,76,54
01053032,Geesthacht,93,39
01053083,Lauenburg/Elbe,76,56
01053090,Mölln,92,41
01053100,Ratzeburg,21,85
01053116,Schwarzenbek,80,59
